Trip_ID,Customer_ID,Date,Day_of_Week,Direction,Departure_Time,Arrival_Time,Duration_min,traffic_conditions
TRIP0001,EE01,06-01-2025,Monday,0,08:25,08:53,28.3,moderate
TRIP0002,EE01,06-01-2025,Monday,1,20:41,20:56,15.6,light
TRIP0003,EC01,06-01-2025,Monday,0,10:17,10:37,20.7,normal
TRIP0004,EC01,06-01-2025,Monday,1,18:25,18:48,23.5,normal
TRIP0005,MM01,06-01-2025,Monday,0,08:04,08:25,22,normal
TRIP0006,MM01,06-01-2025,Monday,1,19:29,19:48,19.8,light
TRIP0007,MB01,06-01-2025,Monday,0,07:49,08:03,14.9,light
TRIP0008,MB01,06-01-2025,Monday,1,16:28,16:41,13.3,light
TRIP0009,MS01,06-01-2025,Monday,0,09:34,10:18,44.4,light
TRIP0010,MS01,06-01-2025,Monday,1,17:36,18:39,63.6,normal
TRIP0011,AC01,06-01-2025,Monday,0,08:45,09:35,50.1,moderate
TRIP0012,AC01,06-01-2025,Monday,1,17:09,17:42,33.2,light
TRIP0013,AE01,06-01-2025,Monday,0,09:53,10:27,34.3,light
TRIP0014,AE01,06-01-2025,Monday,1,19:58,20:29,31,light
TRIP0015,AM01,06-01-2025,Monday,0,08:50,10:01,71.6,normal
TRIP0016,AM01,06-01-2025,Monday,1,18:15,19:39,84.3,moderate
TRIP0017,MI01,06-01-2025,Monday,0,08:07,08:16,9.9,normal
TRIP0018,MI01,06-01-2025,Monday,1,19:35,19:43,8.4,light
TRIP0019,MG01,06-01-2025,Monday,0,08:26,09:20,54.3,moderate
TRIP0020,MG01,06-01-2025,Monday,1,16:26,17:08,42.9,light
TRIP0021,MO01,06-01-2025,Monday,0,08:26,09:06,40.7,moderate
TRIP0022,MO01,06-01-2025,Monday,1,19:09,19:37,28.6,light
TRIP0023,IR01,06-01-2025,Monday,0,07:07,07:21,14.9,light
TRIP0024,IR01,06-01-2025,Monday,1,19:24,19:39,15.3,light
TRIP0025,IS01,06-01-2025,Monday,0,08:18,08:55,37.9,moderate
TRIP0026,IS01,06-01-2025,Monday,1,19:01,19:32,31.2,light
TRIP0027,IG01,06-01-2025,Monday,0,08:55,09:28,33.7,normal
TRIP0028,IG01,06-01-2025,Monday,1,19:58,20:26,28.6,light
TRIP0029,SR01,06-01-2025,Monday,0,08:56,09:08,12.7,normal
TRIP0030,SR01,06-01-2025,Monday,1,17:04,17:12,8.5,light
TRIP0031,SM01,06-01-2025,Monday,0,08:14,08:47,33.5,moderate
TRIP0032,SM01,06-01-2025,Monday,1,17:52,18:29,37.5,moderate
TRIP0033,SO01,06-01-2025,Monday,0,09:58,10:30,32.5,light
TRIP0034,SO01,06-01-2025,Monday,1,19:22,19:55,33,light
TRIP0035,JC01,06-01-2025,Monday,0,08:10,08:32,22.8,normal
TRIP0036,JC01,06-01-2025,Monday,1,18:37,18:57,20.8,normal
TRIP0037,JP01,06-01-2025,Monday,0,09:45,10:04,19.8,light
TRIP0038,JP01,06-01-2025,Monday,1,18:59,19:15,17,light
TRIP0039,JE01,06-01-2025,Monday,0,07:20,07:38,18.6,light
TRIP0040,JE01,06-01-2025,Monday,1,18:26,18:52,26.3,normal
TRIP0041,BG01,06-01-2025,Monday,0,07:14,07:26,12.3,light
TRIP0042,BG01,06-01-2025,Monday,1,17:13,17:26,13.7,light
TRIP0043,BS01,06-01-2025,Monday,0,09:21,09:32,11.5,light
TRIP0044,BS01,06-01-2025,Monday,1,17:46,18:05,19.2,moderate
TRIP0045,BB01,06-01-2025,Monday,0,07:41,08:01,20.1,light
TRIP0046,BB01,06-01-2025,Monday,1,18:24,18:52,29,normal
TRIP0047,RI01,06-01-2025,Monday,0,09:46,09:58,12.6,light
TRIP0048,RI01,06-01-2025,Monday,1,17:55,18:12,17.9,heavy
TRIP0049,RR01,06-01-2025,Monday,0,07:51,08:10,19.2,light
TRIP0050,RR01,06-01-2025,Monday,1,17:53,18:21,28.8,heavy
TRIP0051,RM01,06-01-2025,Monday,0,08:24,08:42,18.4,moderate
TRIP0052,RM01,06-01-2025,Monday,1,17:19,17:32,13.5,light
TRIP0053,CO01,06-01-2025,Monday,0,08:13,08:51,38.3,normal
TRIP0054,CO01,06-01-2025,Monday,1,18:35,19:04,29.1,normal
TRIP0055,CP01,06-01-2025,Monday,0,10:20,10:33,13.9,normal
TRIP0056,CP01,06-01-2025,Monday,1,17:54,18:14,20.1,heavy
TRIP0057,CE01,06-01-2025,Monday,0,07:58,08:13,15.6,normal
TRIP0058,CE01,06-01-2025,Monday,1,18:08,18:27,19.2,moderate
TRIP0059,CB01,06-01-2025,Monday,0,08:45,09:37,52.2,moderate
TRIP0060,CB01,06-01-2025,Monday,1,19:19,19:59,40,light
TRIP0061,CI01,06-01-2025,Monday,0,07:38,08:11,33.2,light
TRIP0062,CI01,06-01-2025,Monday,1,16:11,16:51,40.6,light
TRIP0063,CG01,06-01-2025,Monday,0,09:10,10:00,50.4,light
TRIP0064,CG01,06-01-2025,Monday,1,18:24,19:19,55.6,normal
TRIP0065,AI01,06-01-2025,Monday,0,07:07,07:25,18.9,light
TRIP0066,AI01,06-01-2025,Monday,1,20:31,20:49,18.4,light
TRIP0067,AS01,06-01-2025,Monday,0,07:43,08:19,36.8,light
TRIP0068,AS01,06-01-2025,Monday,1,18:03,19:05,62.9,heavy
TRIP0069,AR01,06-01-2025,Monday,0,08:48,09:22,34.5,normal
TRIP0070,AR01,06-01-2025,Monday,1,18:56,19:15,19.8,light
TRIP0071,HB01,06-01-2025,Monday,0,07:14,07:27,13.8,light
TRIP0072,HB01,06-01-2025,Monday,1,18:24,18:40,16.4,normal
TRIP0073,HM01,06-01-2025,Monday,0,08:33,09:16,43.2,moderate
TRIP0074,HM01,06-01-2025,Monday,1,19:24,19:54,30.1,light
TRIP0075,HE01,06-01-2025,Monday,0,10:21,10:28,7.2,normal
TRIP0076,HE01,06-01-2025,Monday,1,20:27,20:33,6.2,light
TRIP0077,HP01,06-01-2025,Monday,0,08:52,09:00,8.7,normal
TRIP0078,HP01,06-01-2025,Monday,1,18:19,18:28,9.8,moderate
